Asset ID,House,Room/Device,Asset Type,Has Data (API),Check NaN,data_availability,threshold_check
10290,weller_1,badkamer,Leefruimtes,True,True,True,TRUE
10490,weller_1,badkamer_1,mclimate vicky,HTTP Error,No Data,False,No Data
10287,weller_1,diepvries,Grootverbruikers,True,True,True,TRUE
10304,weller_1,digitale_meter,Energiemeter,True,True,True,TRUE
10285,weller_1,droogkast,Grootverbruikers,True,True,True,TRUE
10292,weller_1,eetkamer,Leefruimtes (met enkel pir sensor),True,True,True,TRUE
10299,weller_1,hal_beneden,Leefruimtes (met deursensor),True,True,True,TRUE
10499,weller_1,hal_beneden_1,mclimate vicky,HTTP Error,No Data,False,No Data
10293,weller_1,hal_boven,Leefruimtes (met enkel pir sensor),True,True,True,TRUE
10291,weller_1,keuken,Leefruimtes,True,True,True,TRUE
10495,weller_1,keuken_1,mclimate vicky,HTTP Error,No Data,False,No Data
10288,weller_1,koelkast,Grootverbruikers,HTTP Error,No Data,False,No Data
10295,weller_1,living,Living,True,True,True,TRUE
10296,weller_1,slaapkamer_1,Slaapkamers,True,False,False,No Data
10496,weller_1,slaapkamer_1_1,mclimate vicky,HTTP Error,No Data,False,No Data
10497,weller_1,slaapkamer_2_1,mclimate vicky,HTTP Error,No Data,False,No Data
10297,weller_1,slaapkamer_2,Slaapkamers,True,False,False,No Data
10298,weller_1,slaapkamer_3,Slaapkamers,True,False,False,No Data
10498,weller_1,slaapkamer_3_1,mclimate vicky,HTTP Error,No Data,False,No Data
10289,weller_1,tv,Grootverbruikers,True,False,False,No Data
10284,weller_1,wasmachine,Grootverbruikers,True,True,True,TRUE
10294,weller_1,watermeter,Watermeter,True,True,True,TRUE
10312,weller_2,badkamer,Leefruimtes,True,True,True,TRUE
10491,weller_2,badkamer_1,mclimate vicky,HTTP Error,No Data,False,No Data
10309,weller_2,diepvries,Grootverbruikers,True,True,True,TRUE
10322,weller_2,digitale_meter,Energiemeter,True,True,True,TRUE
10308,weller_2,droogkast,Grootverbruikers,True,True,True,TRUE
10314,weller_2,eetkamer,Leefruimtes (met enkel pir sensor),True,True,True,TRUE
10321,weller_2,hal_beneden,Leefruimtes (met deursensor),True,False,False,No Data
10504,weller_2,hal_beneden_1,mclimate vicky,HTTP Error,No Data,False,No Data
10315,weller_2,hal_boven,Leefruimtes (met enkel pir sensor),True,True,True,TRUE
10313,weller_2,keuken,Leefruimtes,True,True,True,TRUE
10500,weller_2,keuken_1,mclimate vicky,HTTP Error,No Data,False,No Data
10310,weller_2,koelkast,Grootverbruikers,True,True,True,TRUE
10317,weller_2,living,Living,True,True,True,TRUE
10318,weller_2,slaapkamer_1,Slaapkamers,True,True,True,TRUE
10501,weller_2,slaapkamer_1_1,mclimate vicky,HTTP Error,No Data,False,No Data
10502,weller_2,slaapkamer_2_1,mclimate vicky,HTTP Error,No Data,False,No Data
10319,weller_2,slaapkamer_2,Slaapkamers,True,True,True,TRUE
10320,weller_2,slaapkamer_3,Slaapkamers,True,True,True,TRUE
10503,weller_2,slaapkamer_3_1,mclimate vicky,HTTP Error,No Data,False,No Data
10311,weller_2,tv,Grootverbruikers,True,True,True,TRUE
10307,weller_2,wasmachine,Grootverbruikers,True,True,True,TRUE
10316,weller_2,watermeter,Watermeter,True,True,True,TRUE
10334,weller_3,badkamer,Leefruimtes,True,False,False,No Data
10492,weller_3,badkamer_1,mclimate vicky,HTTP Error,No Data,False,No Data
10331,weller_3,diepvries,Grootverbruikers,True,False,False,No Data
10545,weller_3,digitale_meter,Energiemeter,HTTP Error,No Data,False,No Data
10330,weller_3,droogkast,Grootverbruikers,True,False,False,No Data
10336,weller_3,eetkamer,Leefruimtes (met enkel pir sensor),True,False,False,No Data
10509,weller_3,hal_beneden_1,mclimate vicky,HTTP Error,No Data,False,No Data
10343,weller_3,hal_beneden,Leefruimtes (met deursensor),True,False,False,No Data
10337,weller_3,hal_boven,Leefruimtes (met enkel pir sensor),True,False,False,No Data
10335,weller_3,keuken,Leefruimtes,True,False,False,No Data
10505,weller_3,keuken_1,mclimate vicky,HTTP Error,No Data,False,No Data
10332,weller_3,koelkast,Grootverbruikers,True,False,False,No Data
10339,weller_3,living,Living,True,False,False,No Data
10340,weller_3,slaapkamer_1,Slaapkamers,True,False,False,No Data
10506,weller_3,slaapkamer_1_1,mclimate vicky,HTTP Error,No Data,False,No Data
10507,weller_3,slaapkamer_2_1,mclimate vicky,HTTP Error,No Data,False,No Data
10341,weller_3,slaapkamer_2,Slaapkamers,True,False,False,No Data
10342,weller_3,slaapkamer_3,Slaapkamers,True,False,False,No Data
10508,weller_3,slaapkamer_3_1,mclimate vicky,HTTP Error,No Data,False,No Data
10333,weller_3,tv,Grootverbruikers,True,False,False,No Data
10329,weller_3,wasmachine,Grootverbruikers,True,False,False,No Data
10350,weller_4,badkamer,Leefruimtes,True,False,False,No Data
10493,weller_4,badkamer_1,mclimate vicky,HTTP Error,No Data,False,No Data
10347,weller_4,diepvries,Grootverbruikers,True,False,False,No Data
10360,weller_4,digitale_meter,Energiemeter,True,True,True,TRUE
10346,weller_4,droogkast,Grootverbruikers,True,False,False,No Data
10352,weller_4,eetkamer,Leefruimtes (met enkel pir sensor),True,False,False,No Data
10359,weller_4,hal_beneden,Leefruimtes (met deursensor),True,False,False,No Data
10514,weller_4,hal_beneden_1,mclimate vicky,HTTP Error,No Data,False,No Data
10353,weller_4,hal_boven,Leefruimtes (met enkel pir sensor),True,False,False,No Data
10351,weller_4,keuken,Leefruimtes,True,False,False,No Data
10510,weller_4,keuken_1,mclimate vicky,HTTP Error,No Data,False,No Data
10348,weller_4,koelkast,Grootverbruikers,True,False,False,No Data
10355,weller_4,living,Living,True,False,False,No Data
10356,weller_4,slaapkamer_1,Slaapkamers,True,False,False,No Data
10511,weller_4,slaapkamer_1_1,mclimate vicky,HTTP Error,No Data,False,No Data
10512,weller_4,slaapkamer_2_1,mclimate vicky,HTTP Error,No Data,False,No Data
10357,weller_4,slaapkamer_2,Slaapkamers,True,False,False,No Data
10358,weller_4,slaapkamer_3,Slaapkamers,True,False,False,No Data
10513,weller_4,slaapkamer_3_1,mclimate vicky,HTTP Error,No Data,False,No Data
10349,weller_4,tv,Grootverbruikers,True,False,False,No Data
10345,weller_4,wasmachine,Grootverbruikers,True,False,False,No Data
10354,weller_4,watermeter,Watermeter,True,False,False,No Data
10368,weller_5,badkamer,Leefruimtes,HTTP Error,No Data,False,No Data
10494,weller_5,badkamer_1,mclimate vicky,HTTP Error,No Data,False,No Data
10365,weller_5,diepvries,Grootverbruikers,True,False,False,No Data
10378,weller_5,digitale_meter,Energiemeter,HTTP Error,No Data,False,No Data
10364,weller_5,droogkast,Grootverbruikers,True,False,False,No Data
10370,weller_5,eetkamer,Leefruimtes (met enkel pir sensor),True,False,False,No Data
10377,weller_5,hal_beneden,Leefruimtes (met deursensor),True,False,False,No Data
10519,weller_5,hal_beneden_1,mclimate vicky,HTTP Error,No Data,False,No Data
10371,weller_5,hal_boven,Leefruimtes (met enkel pir sensor),True,False,False,No Data
10369,weller_5,keuken,Leefruimtes,True,False,False,No Data
10515,weller_5,keuken_1,mclimate vicky,HTTP Error,No Data,False,No Data
10366,weller_5,koelkast,Grootverbruikers,True,False,False,No Data
10373,weller_5,living,Living,True,False,False,No Data
10374,weller_5,slaapkamer_1,Slaapkamers,True,False,False,No Data
10516,weller_5,slaapkamer_1_1,mclimate vicky,HTTP Error,No Data,False,No Data
10517,weller_5,slaapkamer_2_1,mclimate vicky,HTTP Error,No Data,False,No Data
10375,weller_5,slaapkamer_2,Slaapkamers,True,False,False,No Data
10376,weller_5,slaapkamer_3,Slaapkamers,True,False,False,No Data
10518,weller_5,slaapkamer_3_1,mclimate vicky,HTTP Error,No Data,False,No Data
10367,weller_5,tv,Grootverbruikers,True,False,False,No Data
10363,weller_5,wasmachine,Grootverbruikers,True,False,False,No Data
10372,weller_5,watermeter,Watermeter,True,False,False,No Data
10406,wonen_in_limburg_1,badkamer,Leefruimtes,True,True,True,TRUE
10418,wonen_in_limburg_1,badkamer_1,mclimate vicky,HTTP Error,No Data,False,No Data
10403,wonen_in_limburg_1,diepvries,Grootverbruikers,HTTP Error,No Data,False,No Data
10416,wonen_in_limburg_1,digitale_meter,Energiemeter,True,True,True,TRUE
10402,wonen_in_limburg_1,droogkast,Grootverbruikers,True,True,True,TRUE
10408,wonen_in_limburg_1,eetkamer,Leefruimtes (met enkel pir sensor),True,True,True,TRUE
10415,wonen_in_limburg_1,hal_beneden,Leefruimtes (met deursensor),True,True,True,TRUE
10524,wonen_in_limburg_1,hal_beneden_1,mclimate vicky,HTTP Error,No Data,False,No Data
10409,wonen_in_limburg_1,hal_boven,Leefruimtes (met enkel pir sensor),True,True,True,TRUE
10407,wonen_in_limburg_1,keuken,Leefruimtes,True,True,True,TRUE
10520,wonen_in_limburg_1,keuken_1,mclimate vicky,HTTP Error,No Data,False,No Data
10404,wonen_in_limburg_1,koelkast,Grootverbruikers,True,True,True,TRUE
10411,wonen_in_limburg_1,living,Living,True,True,True,TRUE
10412,wonen_in_limburg_1,slaapkamer_1,Slaapkamers,True,True,True,TRUE
