Asset ID,House,Room/Device,Asset Type,Has Data (API),Check NaN,data_availability,threshold_check
9274,woning_16_,_digitale_meter,Energiemeter,True,True,True,TRUE
9825,woning_16,_badkamer,Leefruimtes,True,True,True,TRUE
10455,woning_16,_badkamer_1,mclimate vicky,False,No Data,False,No Data
9834,woning_16,_eetkamer,Leefruimtes (met enkel pir sensor),True,True,True,TRUE
9832,woning_16,_hal_beneden,Leefruimtes (met deursensor),True,True,True,TRUE
10460,woning_16,_hal_beneden_1,mclimate vicky,False,No Data,False,No Data
15481,woning_16,_hal_boven_1,Leefruimtes (met enkel pir sensor),True,True,True,TRUE
9826,woning_16,_keuken,Leefruimtes,True,True,True,TRUE
10456,woning_16,_keuken_1,mclimate vicky,False,No Data,False,No Data
9267,woning_16,_koelkast,Grootverbruikers,True,True,True,TRUE
9272,woning_16,_living,Living,True,True,True,TRUE
9269,woning_16,_slaapkamer_1,Slaapkamers,True,True,True,TRUE
10457,woning_16,_slaapkamer_1_1,mclimate vicky,False,No Data,False,No Data
10458,woning_16,_slaapkamer_2_1,mclimate vicky,False,No Data,False,No Data
9270,woning_16,_slaapkamer_2,Slaapkamers,True,True,True,TRUE
9271,woning_16,_slaapkamer_3,Slaapkamers,True,True,True,TRUE
10459,woning_16,_slaapkamer_3_1,mclimate vicky,False,No Data,False,No Data
9268,woning_16,_tv,Grootverbruikers,True,False,False,No Data
9266,woning_16,_wasmachine,Grootverbruikers,True,True,True,TRUE
9273,woning_16,_watermeter,Watermeter,True,True,True,TRUE
